storage_set, performed in,22,microseconds,
storage_set, performed in,13,microseconds,
storage_query, performed in,20,microseconds,
storage_set, performed in,10,microseconds,
storage_set, performed in,8,microseconds,
storage_set, performed in,119,microseconds,
storage_set, performed in,125,microseconds,
storage_set, performed in,110,microseconds,
storage_set, performed in,123,microseconds,
storage_set, performed in,104,microseconds,
storage_set, performed in,113,microseconds,
storage_set, performed in,112,microseconds,
storage_set, performed in,121,microseconds,
storage_set, performed in,97,microseconds,
storage_set, performed in,127,microseconds,
storage_set, performed in,133,microseconds,
storage_set, performed in,96,microseconds,
storage_set, performed in,94,microseconds,
storage_set, performed in,113,microseconds,
storage_set, performed in,137,microseconds,
storage_set, performed in,99,microseconds,
storage_set, performed in,107,microseconds,
storage_query, performed in,591,microseconds,
storage_get, performed in,92,microseconds,
storage_query, performed in,293,microseconds,
storage_get, performed in,91,microseconds,
storage_get, performed in,117,microseconds,
storage_get, performed in,113,microseconds,
storage_query, performed in,293,microseconds,
storage_set, performed in,97,microseconds,
storage_get, performed in,114,microseconds,
storage_query, performed in,361,microseconds,
storage_get, performed in,107,microseconds,
storage_query, performed in,348,microseconds,
storage_set, performed in,112,microseconds,
storage_set, performed in,106,microseconds,
storage_set, performed in,14,microseconds,
storage_set, performed in,107,microseconds,
storage_query, performed in,294,microseconds,
storage_get, performed in,94,microseconds,
storage_get, performed in,97,microseconds,
storage_get, performed in,113,microseconds,
storage_get, performed in,83,microseconds,
Total 10 gets performed in,1021,microseconds,,
Total 22 sets performed in,2366,microseconds,,5567
Total 6 queries performed in,2180,microseconds,,
Total 1 aborts,,,,
,,,,
storage_query, performed in,582,microseconds,
storage_set, performed in,152,microseconds,
storage_set, performed in,121,microseconds,
storage_query, performed in,344,microseconds,
storage_set, performed in,99,microseconds,
storage_query, performed in,477,microseconds,
storage_query, performed in,446,microseconds,
storage_set, performed in,122,microseconds,
storage_get, performed in,85,microseconds,
storage_query, performed in,396,microseconds,
storage_set, performed in,129,microseconds,
storage_set, performed in,109,microseconds,
storage_set, performed in,136,microseconds,
storage_set, performed in,118,microseconds,
storage_get, performed in,114,microseconds,
storage_query, performed in,564,microseconds,
storage_get, performed in,110,microseconds,
storage_set, performed in,23,microseconds,
storage_get, performed in,102,microseconds,
storage_set, performed in,112,microseconds,
storage_get, performed in,96,microseconds,
storage_set, performed in,109,microseconds,
storage_set, performed in,115,microseconds,
storage_get, performed in,97,microseconds,
storage_set, performed in,147,microseconds,
storage_set, performed in,15,microseconds,
storage_get, performed in,111,microseconds,
storage_set, performed in,141,microseconds,
storage_query, performed in,326,microseconds,
storage_query, performed in,320,microseconds,
storage_set, performed in,133,microseconds,
storage_query, performed in,324,microseconds,
storage_set, performed in,105,microseconds,
storage_set, performed in,101,microseconds,
storage_query, performed in,285,microseconds,
storage_set, performed in,133,microseconds,
storage_query, performed in,321,microseconds,
storage_query, performed in,259,microseconds,
storage_set, performed in,129,microseconds,
storage_get, performed in,110,microseconds,
storage_set, performed in,17,microseconds,
storage_set, performed in,133,microseconds,
storage_query, performed in,305,microseconds,
storage_set, performed in,87,microseconds,
storage_get, performed in,114,microseconds,
storage_query, performed in,477,microseconds,
storage_get, performed in,112,microseconds,
storage_query, performed in,329,microseconds,
storage_set, performed in,117,microseconds,
storage_query, performed in,324,microseconds,
storage_set, performed in,130,microseconds,
storage_get, performed in,95,microseconds,
storage_query, performed in,322,microseconds,
storage_query, performed in,1025,microseconds,
storage_get, performed in,108,microseconds,
storage_get, performed in,116,microseconds,
storage_get, performed in,106,microseconds,
storage_set, performed in,121,microseconds,
,,436,,
,,171,,
,,91,,
,,208,,
,,166,,
,,184,,
,,183,,
,,118,,
,,112,,
,,247,,
,,186,,
,,99,,
,,146,,
,,196,,
,,155,,
,,245,,
storage_set, performed in,141,microseconds,
storage_get, performed in,97,microseconds,
storage_get, performed in,126,microseconds,
storage_query, performed in,585,microseconds,
storage_get, performed in,113,microseconds,
storage_set, performed in,114,microseconds,
storage_set, performed in,123,microseconds,
storage_query, performed in,338,microseconds,
storage_query, performed in,38,microseconds,
storage_query, performed in,554,microseconds,
storage_get, performed in,105,microseconds,
storage_get, performed in,121,microseconds,
storage_query, performed in,322,microseconds,
storage_get, performed in,113,microseconds,
storage_get, performed in,118,microseconds,
storage_query, performed in,593,microseconds,
Total1 (till 91),,8173,,
Total2,,,,
,,,,
107,,,,
97,,,,
204,,,,
99,,,,
129,,,,
166,,,,
117,,,,
223,,,,
196,,,,
145,,,,
138,,,,
122,,,,
101,,,,
167,,,,
195,,,,
266,,,,
192,,,,
143,,,,
183,,,,
97,,,,
110,,,,
187,,,,
185,,,,
180,,,,
250,,,,
108,,,,
193,,,,
128,,,,
235,,,,
136,,,,
145,,,,
